System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 Alireza Fathi
Machine Name:	 CANTELLI

Data properties:

Recording name:	 Rec 01
Recording date:	 10/7/2011
Recording time:	 11:22:15 AM
Recording resolution:	 640 x 480

Export date:	 10/14/2011
Export time:	 2:38:47 PM

Participant:	 P 001
Participant properties:

Gender:	 Unknown
Age:	 0-247

Timestamp	GazePointXRight	GazePointYRight	ValidityRight	StimuliName	AoiIds	AoiNames	MappedGazeDataPointX	MappedGazeDataPointY	
0									
163000									
