System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 Alireza Fathi
Machine Name:	 CANTELLI

Data properties:

Recording name:	 Rec 04
Recording date:	 10/7/2011
Recording time:	 11:51:21 AM
Recording resolution:	 640 x 480

Export date:	 10/14/2011
Export time:	 2:54:34 PM

Participant:	 P 004
Participant properties:

Gender:	 Unknown
Age:	 0-247

Timestamp	GazePointXRight	GazePointYRight	ValidityRight	StimuliName	AoiIds	AoiNames	MappedGazeDataPointX	MappedGazeDataPointY	
0	0	0	4						
0									
33	0	0	4						
67	0	0	4						
100	0	0	4						
133	0	0	4						
167	0	0	4						
200	0	0	4						
233	0	0	4						
267	0	0	4						
300	0	0	4						
333	0	0	4						
367	0	0	4						
400	0	0	4						
433	0	0	4						
467	0	0	4						
500	0	0	4						
533	0	0	4						
567	0	0	4						
600	0	0	4						
633	0	0	4						
667	0	0	4						
700	0	0	4						
733	0	0	4						
767	0	0	4						
800	0	0	4						
833	0	0	4						
867	0	0	4						
900	0	0	4						
933	0	0	4						
967	0	0	4						
1000	0	0	4						
1033	0	0	4						
1067	0	0	4						
1100	0	0	4						
1133	0	0	4						
1167	0	0	4						
1200	0	0	4						
1233	0	0	4						
1267	0	0	4						
1300	0	0	4						
1333	0	0	4						
1367	0	0	4						
1400	0	0	4						
1433	0	0	4						
1467	0	0	4						
1500	0	0	4						
1533	0	0	4						
1567	0	0	4						
1600	0	0	4						
1633	0	0	4						
1667	0	0	4						
1700	0	0	4						
1733	0	0	4						
1767	0	0	4						
1800	0	0	4						
1833	0	0	4						
1867	0	0	4						
1900	0	0	4						
1933	0	0	4						
1967	0	0	4						
2000	0	0	4						
2033	0	0	4						
2067	0	0	4						
2100	0	0	4						
2133	0	0	4						
2167	0	0	4						
2200	0	0	4						
2233	0	0	4						
2267	0	0	4						
2300	0	0	4						
2333	0	0	4						
2367	0	0	4						
2400	0	0	4						
2433	0	0	4						
2467	0	0	4						
2500	0	0	4						
2533	0	0	4						
2567	0	0	4						
2600	0	0	4						
2633	0	0	4						
2667	0	0	4						
2700	0	0	4						
2733	0	0	4						
2767	0	0	4						
2800	0	0	4						
2833	0	0	4						
2867	0	0	4						
2900	0	0	4						
2933	0	0	4						
2967	0	0	4						
3000	0	0	4						
3033	0	0	4						
3067	0	0	4						
3100	0	0	4						
3133	0	0	4						
3167	0	0	4						
3200	0	0	4						
3233	0	0	4						
3267	0	0	4						
3300	0	0	4						
3333	0	0	4						
3367	0	0	4						
3400	0	0	4						
3433	0	0	4						
3467	0	0	4						
3500	0	0	4						
3533	0	0	4						
3567	0	0	4						
3600	0	0	4						
3633	0	0	4						
3667	0	0	4						
3700	0	0	4						
3733	0	0	4						
3767	0	0	4						
3800	0	0	4						
3833	0	0	4						
3867	0	0	4						
3900	0	0	4						
3933	0	0	4						
3967	0	0	4						
4000	0	0	4						
4033	0	0	4						
4067	0	0	4						
4100	0	0	4						
4133	0	0	4						
4167	0	0	4						
4200	0	0	4						
4233	0	0	4						
4267	0	0	4						
4300	0	0	4						
4333	0	0	4						
4367	0	0	4						
4400	0	0	4						
4433	0	0	4						
4467	0	0	4						
4500	0	0	4						
4533	0	0	4						
4567	0	0	4						
4600	0	0	4						
4633	0	0	4						
4667	0	0	4						
4700	0	0	4						
4733	0	0	4						
4767	0	0	4						
4800	0	0	4						
4833	0	0	4						
4867	0	0	4						
4900	0	0	4						
4933	0	0	4						
4967	0	0	4						
5000	0	0	4						
5033	0	0	4						
5067	0	0	4						
5100	0	0	4						
5133	0	0	4						
5167	0	0	4						
5200	0	0	4						
5233	0	0	4						
5267	0	0	4						
5300	0	0	4						
5333	0	0	4						
5367	0	0	4						
5400	0	0	4						
5433	0	0	4						
5467	0	0	4						
5500	0	0	4						
5533	0	0	4						
5567	0	0	4						
5600	0	0	4						
5633	0	0	4						
5667	0	0	4						
5700	0	0	4						
5733	0	0	4						
5767	0	0	4						
5800	0	0	4						
5833	0	0	4						
5867	0	0	4						
5900	0	0	4						
5933	0	0	4						
5967	0	0	4						
6000	0	0	4						
6033	0	0	4						
6067	0	0	4						
6100	0	0	4						
6133	0	0	4						
6167	0	0	4						
6200	0	0	4						
6233	0	0	4						
6267	0	0	4						
6300	0	0	4						
6333	0	0	4						
6367	0	0	4						
6400	0	0	4						
6433	0	0	4						
6467	0	0	4						
6500	0	0	4						
6533	0	0	4						
6567	0	0	4						
6600	0	0	4						
6633	0	0	4						
6667	0	0	4						
6700	0	0	4						
6733	0	0	4						
6767	255	252	0						
6800	275	102	0						
6833	294	113	0						
6867	313	130	0						
6900	320	139	0						
6933	337	160	0						
6967	339	178	0						
7000	0	0	4						
7033	159	98	0						
7067	179	117	0						
7100	208	139	0						
7133	227	171	0						
7167	234	185	0						
7200	193	138	0						
7233	190	153	0						
7267	211	176	0						
7300	213	192	0						
7333	222	210	0						
7367	224	230	0						
7400	237	239	0						
7433	234	257	0						
7467	241	274	0						
7500	243	290	0						
7533	250	301	0						
7567	257	313	0						
7600	276	320	0						
7633	398	316	0						
7667	396	340	0						
7700	385	354	0						
7733	373	358	0						
7767	372	376	0						
7800	464	393	0						
7833	453	418	0						
7867	452	415	0						
7900	444	406	0						
7933	0	0	4						
7967	425	375	0						
8000	427	373	0						
8033	423	370	0						
8067	422	376	0						
8100	422	364	0						
8133	425	359	0						
8167	431	358	0						
8200	0	0	4						
8233	0	0	4						
8267	0	0	4						
8300	0	0	4						
8333	0	0	4						
8367	0	0	4						
8400	0	0	4						
8433	0	0	4						
8467	0	0	4						
8500	0	0	4						
8533	0	0	4						
8567	0	0	4						
8600	0	0	4						
8633	17	390	0						
8667	41	387	0						
8700	85	394	0						
8733	113	384	0						
8767	24	397	0						
8800	0	0	4						
8833	10	314	0						
8867	42	304	0						
8900	84	310	0						
8933	97	308	0						
8967	108	313	0						
9000	106	304	0						
9033	97	294	0						
9067	103	299	0						
9100	61	254	0						
9133	52	252	0						
9167	49	252	0						
9200	47	244	0						
9233	40	241	0						
9267	22	239	0						
9300	10	260	0						
9333	48	254	0						
9367	0	0	4						
9400	0	0	4						
9433	0	0	4						
9467	0	0	4						
9500	0	0	4						
9533	0	0	4						
9567	0	0	4						
9600	0	0	4						
9633	614	395	0						
9667	595	397	0						
9700	583	388	0						
9733	573	383	0						
9767	563	380	0						
9800	563	371	0						
9833	557	367	0						
9867	563	366	0						
9900	557	363	0						
9933	0	0	4						
9967	469	453	0						
10000	488	457	0						
10033	493	459	0						
10067	507	446	0						
10100	520	448	0						
10133	519	453	0						
10167	0	0	4						
10200	0	0	4						
10233	0	0	4						
10267	106	189	0						
10300	188	245	0						
10333	268	272	0						
10367	270	262	0						
10400	205	205	0						
10433	225	220	0						
10467	233	226	0						
10500	260	237	0						
10533	273	254	0						
10567	289	251	0						
10600	297	254	0						
10633	304	250	0						
10667	302	249	0						
10700	303	255	0						
10733	302	253	0						
10767	307	257	0						
10800	307	258	0						
10833	305	261	0						
10867	306	261	0						
10900	306	258	0						
10933	303	256	0						
10967	298	264	0						
11000	293	270	0						
11033	288	267	0						
11067	292	266	0						
11100	283	263	0						
11133	291	273	0						
11167	285	266	0						
11200	325	285	0						
11233	400	326	0						
11267	386	321	0						
11300	365	317	0						
11333	353	312	0						
11367	335	310	0						
11400	319	303	0						
11433	0	0	4						
11467	0	0	4						
11500	0	0	4						
11533	0	0	4						
11567	0	0	4						
11600	0	0	4						
11633	0	0	4						
11667	596	444	0						
11700	0	0	4						
11733	0	0	4						
11767	558	455	0						
11800	0	0	4						
11833	0	0	4						
11867	0	0	4						
11900	492	479	0						
11933	493	475	0						
11967	0	0	4						
12000	442	471	0						
12033	434	459	0						
12067	426	466	0						
12100	428	459	0						
12133	420	466	0						
12167	414	472	0						
12200	412	469	0						
12233	460	379	0						
12267	449	391	0						
12300	453	391	0						
12333	0	0	4						
12367	434	389	0						
12400	422	385	0						
12433	421	387	0						
12467	409	389	0						
12500	412	386	0						
12533	399	387	0						
12567	390	394	0						
12600	383	390	0						
12633	378	392	0						
12667	384	384	0						
12700	379	389	0						
12733	371	383	0						
12767	372	378	0						
12800	363	381	0						
12833	366	384	0						
12867	357	382	0						
12900	353	369	0						
12933	350	361	0						
12967	356	361	0						
13000	350	360	0						
13033	352	359	0						
13067	354	354	0						
13100	361	352	0						
13133	367	353	0						
13167	370	349	0						
13200	373	354	0						
13233	378	350	0						
13267	376	348	0						
13300	376	358	0						
13333	384	359	0						
13367	388	357	0						
13400	388	358	0						
13433	383	355	0						
13467	383	351	0						
13500	389	352	0						
13533	390	352	0						
13567	393	351	0						
13600	394	350	0						
13633	398	351	0						
13667	397	343	0						
13700	401	344	0						
13733	407	342	0						
13767	408	339	0						
13800	410	342	0						
13833	409	346	0						
13867	423	344	0						
13900	426	348	0						
13933	413	345	0						
13967	414	344	0						
14000	434	345	0						
14033	440	342	0						
14067	450	341	0						
14100	466	345	0						
14133	451	343	0						
14167	465	336	0						
14200	466	344	0						
14233	470	343	0						
14267	482	343	0						
14300	477	331	0						
14333	493	340	0						
14367	483	333	0						
14400	490	333	0						
14433	499	349	0						
14467	517	339	0						
14500	513	338	0						
14533	520	345	0						
14567	534	345	0						
14600	548	339	0						
14633	548	339	0						
14667	516	341	0						
14700	521	337	0						
14733	518	335	0						
14767	515	330	0						
14800	525	331	0						
14833	519	332	0						
14867	528	327	0						
14900	527	322	0						
14933	531	321	0						
14967	536	324	0						
15000	534	322	0						
15033	542	315	0						
15067	570	308	0						
15100	580	285	0						
15133	583	282	0						
15167	580	282	0						
15200	578	283	0						
15233	580	287	0						
15267	579	288	0						
15300	587	292	0						
15333	585	287	0						
15367	593	298	0						
15400	592	298	0						
15433	601	297	0						
15467	600	297	0						
15500	595	301	0						
15533	590	299	0						
15567	589	303	0						
15600	593	316	0						
15633	591	315	0						
15667	592	316	0						
15700	603	321	0						
15733	615	318	0						
15767	620	316	0						
15800	622	317	0						
15833	625	315	0						
15867	623	316	0						
15900	625	324	0						
15933	621	320	0						
15967	625	325	0						
16000	618	321	0						
16033	611	315	0						
16067	594	314	0						
16100	587	317	0						
16133	577	307	0						
16167	567	302	0						
16200	553	304	0						
16233	545	306	0						
16267	532	297	0						
16300	511	300	0						
16333	492	314	0						
16367	481	320	0						
16400	470	323	0						
16433	466	316	0						
16467	446	326	0						
16500	451	332	0						
16533	442	329	0						
16567	441	332	0						
16600	446	337	0						
16633	442	330	0						
16667	448	329	0						
16700	452	334	0						
16733	448	335	0						
16767	451	335	0						
16800	441	341	0						
16833	449	336	0						
16867	446	338	0						
16900	438	333	0						
16933	444	331	0						
16967	433	330	0						
17000	421	321	0						
17033	429	325	0						
17067	424	322	0						
17100	408	316	0						
17133	412	327	0						
17167	402	334	0						
17200	416	327	0						
17233	397	318	0						
17267	399	324	0						
17300	405	332	0						
17333	413	335	0						
17367	410	332	0						
17400	397	329	0						
17433	400	333	0						
17467	392	332	0						
17500	391	337	0						
17533	388	335	0						
17567	386	338	0						
17600	396	338	0						
17633	393	342	0						
17667	388	345	0						
17700	388	346	0						
17733	386	345	0						
17767	393	352	0						
17800	393	357	0						
17833	401	349	0						
17867	402	353	0						
17900	396	357	0						
17933	402	370	0						
17967	396	371	0						
18000	398	368	0						
18033	398	369	0						
18067	394	371	0						
18100	399	370	0						
18133	395	367	0						
18167	395	373	0						
18200	391	370	0						
18233	348	386	0						
18267	350	385	0						
18300	352	376	0						
18333	348	373	0						
18367	355	365	0						
18400	282	377	0						
18433	0	0	4						
18467	54	454	0						
18500	0	0	4						
18533	0	0	4						
18567	32	459	0						
18600	69	450	0						
18633	99	432	0						
18667	124	435	0						
18700	150	420	0						
18733	0	0	4						
18767	0	0	4						
18800	0	0	4						
18833	0	0	4						
18867	0	0	4						
18900	0	0	4						
18933	0	0	4						
18967	0	0	4						
19000	0	0	4						
19033	0	0	4						
19067	0	0	4						
19100	0	0	4						
19133	0	0	4						
19167	0	0	4						
19200	0	0	4						
19233	242	435	0						
19267	236	410	0						
19300	237	419	0						
19333	236	408	0						
19367	235	416	0						
19400	236	414	0						
19433	240	419	0						
19467	236	417	0						
19500	237	420	0						
19533	246	427	0						
19567	244	432	0						
19600	245	435	0						
19633	248	440	0						
19667	250	444	0						
19700	260	442	0						
19733	271	438	0						
19767	276	436	0						
