System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 Alireza Fathi
Machine Name:	 CANTELLI

Data properties:

Recording name:	 Rec 04
Recording date:	 10/13/2011
Recording time:	 12:31:05 PM
Recording resolution:	 640 x 480

Export date:	 10/18/2011
Export time:	 12:42:17 PM

Participant:	 P 004
Participant properties:

Gender:	 Unknown
Age:	 0-247

Timestamp	GazePointXRight	GazePointYRight	ValidityRight	StimuliName	AoiIds	AoiNames	MappedGazeDataPointX	MappedGazeDataPointY	
0	0	0	4						
0									
33	0	0	4						
67	0	0	4						
100	0	0	4						
133	0	0	4						
167	0	0	4						
200	0	0	4						
233	0	0	4						
267	0	0	4						
300	0	0	4						
333	0	0	4						
367	0	0	4						
400	0	0	4						
433	0	0	4						
467	0	0	4						
500	0	0	4						
533	0	0	4						
567	0	0	4						
600	0	0	4						
633	0	0	4						
667	0	0	4						
700	0	0	4						
733	0	0	4						
767	0	0	4						
800	0	0	4						
833	0	0	4						
867	0	0	4						
900	0	0	4						
933	0	0	4						
967	0	0	4						
1000	0	0	4						
1033	0	0	4						
1067	0	0	4						
1100	0	0	4						
1133	0	0	4						
1167	0	0	4						
1200	0	0	4						
1233	0	0	4						
1267	0	0	4						
1300	0	0	4						
1333	0	0	4						
1367	293	412	0						
1400	0	0	4						
1433	0	0	4						
1467	0	0	4						
1500	0	0	4						
1533	0	0	4						
1567	0	0	4						
1600	0	0	4						
1633	0	0	4						
1667	0	0	4						
1700	0	0	4						
1733	0	0	4						
1767	0	0	4						
1800	0	0	4						
1833	314	377	0						
1867	307	375	0						
1900	304	378	0						
1933	307	373	0						
1967	303	369	0						
2000	300	363	0						
2033	303	365	0						
2067	307	361	0						
2100	306	360	0						
2133	302	352	0						
2167	304	351	0						
2200	310	355	0						
2233	309	345	0						
2267	306	339	0						
2300	306	336	0						
2333	302	331	0						
2367	305	333	0						
2400	307	326	0						
2433	304	330	0						
2467	303	336	0						
2500	305	339	0						
2533	304	337	0						
2567	303	342	0						
2600	303	345	0						
2633	298	342	0						
2667	299	339	0						
2700	300	338	0						
2733	299	335	0						
2767	307	339	0						
2800	309	339	0						
2833	304	327	0						
2867	310	330	0						
2900	309	329	0						
2933	309	325	0						
2967	307	319	0						
3000	307	323	0						
3033	298	317	0						
3067	308	320	0						
3100	307	319	0						
3133	304	314	0						
3167	308	318	0						
3200	303	320	0						
3233	306	317	0						
3267	305	319	0						
3300	306	316	0						
3333	305	321	0						
3367	297	306	0						
3400	298	304	0						
3433	298	306	0						
3467	299	302	0						
3500	298	299	0						
3533	0	0	4						
3567	297	302	0						
3600	0	0	4						
3633	0	0	4						
3667	0	0	4						
3700	306	309	0						
3733	302	309	0						
3767	300	311	0						
3800	301	314	0						
3833	299	311	0						
3867	299	309	0						
3900	299	302	0						
3933	298	303	0						
3967	301	302	0						
4000	308	301	0						
4033	310	298	0						
4067	311	289	0						
4100	314	287	0						
4133	313	283	0						
4167	313	281	0						
4200	312	277	0						
4233	311	273	0						
4267	314	275	0						
4300	315	275	0						
4333	310	273	0						
4367	312	276	0						
4400	314	280	0						
4433	314	278	0						
4467	313	284	0						
4500	315	286	0						
4533	312	285	0						
4567	311	285	0						
4600	312	293	0						
4633	311	293	0						
4667	315	300	0						
4700	312	302	0						
4733	309	301	0						
4767	308	299	0						
4800	307	307	0						
4833	306	306	0						
4867	309	311	0						
4900	308	305	0						
4933	309	301	0						
4967	315	303	0						
5000	0	0	4						
5033	173	296	0						
5067	184	293	0						
5100	182	294	0						
5133	184	295	0						
5167	188	297	0						
5200	0	0	4						
5233	0	0	4						
5267	0	0	4						
5300	195	302	0						
5333	186	301	0						
5367	198	303	0						
5400	0	0	4						
5433	20	356	0						
5467	0	0	4						
5500	0	0	4						
5533	0	0	4						
5567	37	359	0						
5600	47	359	0						
5633	51	362	0						
5667	48	357	0						
5700	52	365	0						
5733	0	0	4						
5767	310	321	0						
5800	308	318	0						
5833	308	325	0						
5867	308	329	0						
5900	306	329	0						
5933	302	321	0						
5967	299	316	0						
6000	0	0	4						
6033	30	339	0						
6067	47	330	0						
6100	71	324	0						
6133	94	315	0						
6167	122	320	0						
6200	138	312	0						
6233	0	0	4						
6267	0	0	4						
6300	203	301	0						
6333	221	299	0						
6367	247	297	0						
6400	259	299	0						
6433	269	297	0						
6467	267	306	0						
6500	278	288	0						
6533	286	280	0						
6567	291	268	0						
6600	300	259	0						
6633	302	246	0						
6667	297	237	0						
6700	298	231	0						
6733	296	229	0						
6767	299	232	0						
6800	296	226	0						
6833	302	231	0						
6867	300	230	0						
6900	297	226	0						
6933	300	234	0						
6967	298	230	0						
7000	296	234	0						
7033	297	230	0						
7067	292	227	0						
7100	292	232	0						
7133	292	234	0						
7167	290	233	0						
7200	285	236	0						
7233	279	239	0						
7267	275	242	0						
7300	277	251	0						
7333	277	252	0						
7367	277	259	0						
7400	280	269	0						
7433	281	274	0						
7467	277	277	0						
7500	0	0	4						
7533	269	281	0						
7567	272	286	0						
7600	268	295	0						
7633	266	297	0						
7667	264	303	0						
7700	264	303	0						
7733	265	307	0						
7767	262	308	0						
7800	265	315	0						
7833	262	318	0						
7867	258	326	0						
7900	256	333	0						
7933	251	341	0						
7967	238	340	0						
8000	240	343	0						
8033	242	347	0						
8067	246	352	0						
8100	241	354	0						
8133	240	356	0						
8167	240	358	0						
8200	247	354	0						
8233	246	353	0						
8267	256	345	0						
8300	262	337	0						
8333	264	333	0						
8367	278	334	0						
8400	281	326	0						
8433	287	326	0						
8467	292	320	0						
8500	295	316	0						
8533	295	314	0						
8567	300	318	0						
8600	299	318	0						
8633	299	316	0						
8667	301	316	0						
8700	303	320	0						
8733	301	315	0						
8767	302	318	0						
8800	301	314	0						
8833	299	316	0						
8867	302	317	0						
8900	302	311	0						
8933	301	308	0						
8967	303	306	0						
9000	303	298	0						
9033	305	295	0						
9067	307	295	0						
9100	308	292	0						
9133	305	286	0						
9167	309	291	0						
9200	307	290	0						
9233	310	291	0						
9267	307	293	0						
9300	308	289	0						
9333	310	293	0						
9367	312	298	0						
9400	308	298	0						
9433	308	298	0						
9467	309	299	0						
9500	310	304	0						
9533	306	303	0						
9567	309	303	0						
9600	309	298	0						
9633	308	303	0						
9667	303	300	0						
9700	304	303	0						
9733	306	306	0						
9767	302	306	0						
9800	301	306	0						
9833	297	304	0						
9867	298	306	0						
9900	296	304	0						
9933	291	299	0						
9967	293	296	0						
10000	297	303	0						
10033	299	303	0						
10067	300	304	0						
10100	303	304	0						
10133	302	306	0						
10167	303	307	0						
10200	304	310	0						
10233	302	309	0						
10267	301	311	0						
10300	297	317	0						
10333	296	314	0						
10367	289	312	0						
10400	290	313	0						
10433	288	308	0						
10467	289	306	0						
10500	287	304	0						
10533	292	307	0						
10567	292	304	0						
10600	307	307	0						
10633	311	304	0						
10667	317	301	0						
10700	316	304	0						
10733	318	306	0						
10767	318	303	0						
10800	316	304	0						
10833	316	302	0						
10867	315	301	0						
10900	311	302	0						
10933	316	305	0						
10967	314	301	0						
11000	310	300	0						
11033	305	304	0						
11067	304	301	0						
11100	300	306	0						
11133	295	309	0						
11167	296	305	0						
11200	292	307	0						
11233	295	309	0						
11267	293	308	0						
11300	294	313	0						
11333	287	319	0						
11367	280	324	0						
11400	275	327	0						
11433	270	330	0						
11467	0	0	4						
11500	0	0	4						
11533	0	0	4						
11567	262	345	0						
11600	370	314	0						
11633	365	311	0						
11667	361	313	0						
11700	360	324	0						
11733	358	329	0						
11767	334	330	0						
11800	240	340	0						
11833	253	340	0						
11867	251	340	0						
11900	254	338	0						
11933	0	0	4						
11967	0	0	4						
12000	0	0	4						
12033	261	338	0						
12067	263	331	0						
12100	260	331	0						
12133	262	338	0						
12167	261	330	0						
12200	262	336	0						
12233	0	0	4						
12267	0	0	4						
12300	0	0	4						
12333	0	0	4						
12367	0	0	4						
12400	0	0	4						
12433	263	331	0						
12467	0	0	4						
12500	0	0	4						
12533	0	0	4						
12567	269	333	0						
12600	268	334	0						
12633	271	334	0						
12667	274	333	0						
12700	0	0	4						
12733	0	0	4						
12767	272	328	0						
12800	274	325	0						
12833	274	335	0						
12867	285	329	0						
12900	288	331	0						
12933	294	332	0						
12967	302	338	0						
13000	306	344	0						
13033	301	342	0						
13067	305	339	0						
13100	307	341	0						
13133	304	337	0						
13167	306	343	0						
13200	304	343	0						
13233	302	341	0						
13267	301	343	0						
13300	298	339	0						
13333	299	351	0						
13367	293	359	0						
13400	291	360	0						
13433	288	360	0						
13467	285	357	0						
13500	284	354	0						
13533	278	347	0						
13567	276	352	0						
13600	278	350	0						
13633	279	347	0						
13667	275	346	0						
13700	276	343	0						
13733	280	327	0						
13767	293	322	0						
13800	298	317	0						
13833	293	314	0						
13867	296	309	0						
13900	295	306	0						
13933	309	327	0						
13967	0	0	4						
14000	0	0	4						
14033	0	0	4						
14067	0	0	4						
14100	0	0	4						
14133	0	0	4						
14167	0	0	4						
14200	0	0	4						
14233	0	0	4						
14267	0	0	4						
14300	0	0	4						
14333	0	0	4						
14367	330	476	0						
14400	324	465	0						
14433	0	0	4						
14467	0	0	4						
14500	0	0	4						
14533	0	0	4						
14567	0	0	4						
14600	0	0	4						
14633	0	0	4						
14667	0	0	4						
14700	0	0	4						
14733	0	0	4						
14767	0	0	4						
14800	0	0	4						
14833	0	0	4						
14867	319	420	0						
14900	320	413	0						
14933	320	408	0						
14967	0	0	4						
15000	0	0	4						
15033	0	0	4						
15067	0	0	4						
15100	319	393	0						
15133	319	389	0						
15167	317	387	0						
15200	316	388	0						
15233	315	383	0						
15267	316	383	0						
15300	309	384	0						
15333	309	378	0						
15367	305	380	0						
15400	309	373	0						
15433	313	380	0						
15467	311	384	0						
15500	309	376	0						
15533	307	369	0						
15567	308	381	0						
15600	305	374	0						
15633	300	378	0						
15667	297	380	0						
15700	295	384	0						
15733	290	389	0						
15767	0	0	4						
15800	0	0	4						
15833	292	392	0						
15867	290	410	0						
15900	284	400	0						
15933	283	385	0						
15967	275	399	0						
16000	274	409	0						
16033	0	0	4						
16067	0	0	4						
16100	0	0	4						
16133	267	379	0						
16167	261	370	0						
16200	254	359	0						
16233	251	346	0						
16267	246	348	0						
16300	248	350	0						
16333	243	340	0						
16367	235	328	0						
16400	234	325	0						
16433	235	308	0						
16467	236	304	0						
16500	239	297	0						
16533	244	280	0						
16567	248	263	0						
16600	0	0	4						
16633	254	246	0						
16667	247	240	0						
16700	248	235	0						
16733	252	227	0						
16767	248	221	0						
16800	247	218	0						
16833	242	205	0						
16867	243	208	0						
16900	243	211	0						
16933	244	210	0						
16967	249	209	0						
17000	251	211	0						
17033	250	210	0						
17067	249	209	0						
17100	249	209	0						
17133	249	207	0						
17167	244	201	0						
17200	248	199	0						
17233	258	203	0						
17267	257	196	0						
17300	0	0	4						
17333	267	202	0						
17367	263	187	0						
17400	258	185	0						
17433	262	187	0						
17467	265	192	0						
17500	262	195	0						
17533	265	199	0						
17567	263	197	0						
17600	263	195	0						
17633	262	196	0						
17667	262	197	0						
17700	261	198	0						
17733	0	0	4						
17767	247	196	0						
17800	0	0	4						
17833	0	0	4						
17867	0	0	4						
17900	275	205	0						
17933	280	198	0						
17967	278	196	0						
18000	279	194	0						
18033	278	192	0						
18067	283	189	0						
18100	284	190	0						
18133	283	185	0						
18167	287	183	0						
18200	288	179	0						
18233	288	178	0						
18267	293	175	0						
18300	293	174	0						
18333	295	170	0						
18367	296	172	0						
18400	300	175	0						
18433	299	176	0						
18467	301	182	0						
18500	304	183	0						
18533	297	179	0						
18567	302	179	0						
18600	301	178	0						
18633	297	182	0						
18667	300	181	0						
18700	297	184	0						
18733	298	182	0						
18767	301	187	0						
18800	300	189	0						
18833	306	200	0						
18867	312	203	0						
18900	310	199	0						
18933	309	193	0						
18967	310	199	0						
19000	311	199	0						
19033	311	203	0						
19067	310	214	0						
19100	308	211	0						
19133	311	215	0						
19167	309	221	0						
19200	312	223	0						
19233	312	224	0						
19267	315	229	0						
19300	313	227	0						
19333	311	222	0						
19367	316	222	0						
19400	314	223	0						
19433	310	220	0						
19467	310	223	0						
19500	316	227	0						
19533	328	244	0						
19567	325	240	0						
19600	329	239	0						
19633	330	239	0						
19667	328	235	0						
19700	332	239	0						
19733	333	243	0						
19767	334	249	0						
