<take><bowl> (111-174)
<take><cereal> (203-229)
<pour><cereal,bowl> (228-336)
<put><cereal> (338-367)
<take><milk> (373-435)
<open><milk> (436-474)
<pour><milk,bowl> (475-552)
<close><milk> (553-590)
<put><milk> (591-618)
<take><honey> (638-662)
<open><honey> (663-682)
<pour><honey,bowl> (683-811)
<close><honey> (812-854)
<put><honey> (857-880)
<take><spoon> (916-968)
<mix><spoon,cup,milk,cereal> (978-1109)
<take><bread> (1197-1283)
<take><plate> (1314-1396)
<open><peanut> (1428-1469)
<take><knife> (1503-1551)
<scoop><peanut> (1572-1653)
<spread><peanut,bread,knife> (1655-1977)
<close><peanut> (2016-2057)
<put><peanut> (2057-2066)
<take><honey> (2061-2084)
<open><honey> (2088-2110)
<pour><honey,bread> (2111-2246)
<close><honey> (2247-2260)
<put><honey> (2261-2285)
