<take><cup> (171-217)
<take><fanta> (218-233)
<open><fanta> (234-279)
<pour><fanta,cup> (302-364)
<close><fanta> (392-436)
<take><plate> (455-497)
<take><bread> (593-651)
<take><mayonnaise> (774-814)
<open><mayonnaise> (819-863)
<pour><mayonnaise,bread> (865-1016)
<close><mayonnaise> (1017-1034)
<put><mayonnaise> (1035-1053)
<take><mustard> (1054-1082)
<open><mustard> (1098-1142)
<pour><mustard,bread> (1147-1206)
<close><mustard> (1208-1226)
<put><mustard> (1227-1250)
<take><knife> (1324-1404)
<spread><mustard,bread,knife> (1435-1602)
<take><cheese> (1667-1720)
<open><cheese> (1734-1854)
<put><cheese,bread> (1855-1919)
<take><celery> (2078-2154)
<take><carrot> (2155-2228)
<take><peperoni> (2235-2389)
<take><biscuit> (2805-2839)
<take><fork> (2940-3004)
<take><olive> (3070-3152)
<take><cheese> (3170-3233)
<take><plate> (3478-3531)
<take><peperoni> (3627-3656)
<take><cheese2> (3663-3766)
<take><napkin> (4299-4333)
<open><turkey> (4399-4468)
<take><bread> (4614-4707)
<take><biscuit> (4778-4997)
<take><biscuit> (5004-5041)
<take><cheese2> (5047-5095)
<put><biscuit> (5108-5168)
<take><mayonnaise> (5211-5232)
<open><mayonnaise> (5234-5253)
<pour><mayonnaise,bread> (5254-5351)
<close><mayonnaise> (5354-5363)
<take><mustard> (5378-5399)
<open><mustard> (5489-5506)
<pour><mustard,bread> (5509-5579)
<close><mustard> (5579-5591)
<put><mustard> (5592-5608)
<take><knife> (5637-5647)
<spread><mustard,bread,knife> (5648-5813)
<take><cheese> (5937-5972)
<open><cheese> (5975-6096)
<put><cheese,bread> (6145-6178)
<put><turkey,bread> (6179-6205)
<take><celery> (6247-6283)
<take><tomato> (6284-6323)
<take><tomato> (6324-6363)
<take><broccoli> (6367-6410)
<take><carrot> (6422-6487)
<close><turkey> (6592-6672)
