<take><plate> (287-376)
<take><bread> (439-509)
<take><turkey> (524-769)
<take><fork> (787-1000)
<take><turkey> (1034-1203)
<take><mayonnaise> (1228-1263)
<open><mayonnaise> (1270-1289)
<pour><mayonnaise,bread> (1290-1318)
<close><mayonnaise> (1317-1331)
<put><mayonnaise> (1336-1357)
<spread><mayonnaise,bread,fork> (1355-1431)
<take><turkey> (1450-1491)
<take><turkey> (1500-1665)
<close><turkey> (1732-1782)
<put><turkey,bread> (1783-1806)
<take><tomato> (1809-1870)
<take><tomato> (1873-1930)
<take><cup> (2032-2116)
<open><milk> (2163-2209)
<pour><milk,cup> (2219-2283)
<close><milk> (2297-2337)
<take><cheese> (2392-2436)
<open><cheese> (2437-2525)
<put><cheese,bread> (2526-2749)
<take><carrot> (2942-3033)
