<take><bread> (424-487)
<take><cheese> (638-676)
<open><cheese> (694-861)
<put><cheese,bread> (862-908)
<take><peanut> (1054-1088)
<open><peanut> (1113-1141)
<take><knife> (1262-1299)
<scoop><peanut,knife> (1348-1399)
<spread><peanut,bread,knife> (1400-1560)
<scoop><peanut,knife> (1580-1614)
<spread><peanut,bread,knife> (1653-1776)
<scoop><peanut,knife> (1799-1843)
<spread><peanut,bread,knife> (1858-2024)
<close><peanut> (2072-2162)
<put><peanut> (2163-2183)
<take><biscuit> (2270-2470)
<put><biscuit,bread> (2475-2547)
<sandwich><bread> (2671-2702)
